"000L7
",gbzpyugxpkb,810,97525,Abbeville,VR891
"000NS
",qrefsw,968,43716,Beacon,9CZ0P
"00152
",fkydhmis,13,91178,Dunlap,T433R
"004WQ
",hoanydgzhybuvw,670,15087,Owasso,L5Z92
"00639
",jezwlppjx,348,52737,Santa Fe,39KLW
"00EN2
",isieqbjyekuzn,54,29958,Guymon,AD885
"00L6T
",pzmnmxp,204,28069,Pleasant Hill,0N61N
"00NVJ
",hdiktzak,386,65978,Gardena,320B7
"018AH
",blantbfv,78,93862,Northampton,L1GU4
"01H05
",oyizcicpgnt,572,80671,Aberdeen,4V587
"01MFZ
",gszalb,843,16982,Midfield,Z0JAI
"01QNK
",aiwsrglmdpen,574,37847,Hornell,V0EW0
"02U42
",fzhbf,502,94285,Amsterdam,PH1G8
"030Y5
",sfieze,992,97317,Taylor,
"03DNI
",jzmvukjkwcvdzd,709,94657,Cartersville,CLUVF
"04101
",ruleliefpnxmzvf,925,16293,Little Falls,UZF28
"0435B
",fomuwwinho,925,33031,Cherryville,580Q0
"04WP7
",zocvvxqfcp,791,77833,Booneville,
"05ATM
",ycbeqqaynzmkffj,539,71020,Pleasant Hill,074V7
"05S4E
",lwlxi,853,93479,Eloy,Q997F
"0605M
",ugfpqjygredsklf,658,32954,West Plains,S91VB
"06822
",ywxkxblyulvgbj,25,84152,McFarland,8203X
"06C6I
",ttaseayiyedgyi,467,30552,Long View,19D64
"06L98
",psjlaspgmv,860,10667,Wildwood,BBL0C
"078R9
",chkzsd,398,07921,Surfside Beach,7AH5U
"08MYD
",xdvvvopwaij,558,72020,Sunny Isles Beach,0P390
"097I9
",ebllthdczcycu,502,50708,Richmond,5N8TN
"09N40
",kvtdg,10,22511,DeWitt,NS704
"0A064
",gmreiugq,705,95518,Mount Vernon,54NU3
"0AX77
",sunzz,86,88092,South Bay,08W95
"0BPMR
",jhwfzzuxjf,55,05705,Gulfport,D09Q8
"0C57P
",ptvdupgd,631,80990,Hartford,
"0CNRW
",buzorgfc,375,49803,Ardmore,7KT6K
"0D477
",fkvaankg,533,66913,Hazlehurst,0LR92
"0ELX7
",qfwll,795,68051,Aberdeen,NKFB8
"0F4LC
",absiujmfgegljq,3,04087,Eastman,0GX76
"0FRLB
",ifjgijornyhi,368,34476,Thatcher,8F9OR
"0G628
",yapeesfjqpc,650,27992,Forest Lake,
"0H78O
",itpkf,550,53824,Trenton,CC5YP
"0HBB7
",cvqkcdqfaci,758,71453,Allendale,G611R
"0IA28
",nbpibi,243,54585,Citrus Heights,49SZH
